,T,lambda,gamma,strategy
523,10,0.25,11,70
524,10,0.25,11,60
525,10,0.25,11,80
526,10,0.25,11,70
527,10,0.25,11,80
528,10,0.25,11,70
529,10,0.25,11,60
530,10,0.25,11,50
531,10,0.25,11,60
532,10,0.25,11,80
533,10,0.25,11,50
534,10,0.25,11,60
535,10,0.25,11,80
536,10,0.25,11,70
537,10,0.25,11,60
538,10,0.25,11,80
539,10,0.25,11,40
540,10,0.25,11,70
541,10,0.25,11,70
542,10,0.25,11,70
543,10,0.25,11,60
544,10,0.25,11,70
545,10,0.25,11,50
546,10,0.25,11,60
547,10,0.25,11,60
548,10,0.25,11,70
549,10,0.25,11,50
550,10,0.25,11,70
551,10,0.25,11,70
552,10,0.25,11,70
553,10,0.25,11,70
554,10,0.25,11,60
555,10,0.25,11,70
556,10,0.25,11,70
557,10,0.25,11,70
558,10,0.25,11,70
559,10,0.25,11,50
560,10,0.25,11,70
561,10,0.25,11,70
562,10,0.25,11,60
563,10,0.25,11,70
564,10,0.25,11,80
565,10,0.25,11,70
566,10,0.25,11,70
567,10,0.25,11,80
568,10,0.25,11,40
569,10,0.25,11,60
570,10,0.25,11,50
571,10,0.25,11,60
572,10,0.25,11,50
573,10,0.25,11,50
574,10,0.25,11,80
575,10,0.25,11,70
576,10,0.25,11,80
577,10,0.25,11,80
578,10,0.25,11,80
579,10,0.25,11,70
580,10,0.25,11,80
581,10,0.25,11,70
582,10,0.25,11,80
583,10,0.25,11,80
584,10,0.25,11,80
585,10,0.25,11,70
586,10,0.25,11,80
587,10,0.25,11,80
588,10,0.25,11,80
589,10,0.25,11,70
590,10,0.25,11,60
591,10,0.25,11,70
592,10,0.25,11,80
593,10,0.25,11,70
594,10,0.25,11,80
595,10,0.25,11,80
596,10,0.25,11,80
597,10,0.25,11,60
598,10,0.25,11,80
599,10,0.25,11,80
600,10,0.25,11,80
601,10,0.25,11,80
602,10,0.25,11,70
603,10,0.25,11,40
604,10,0.25,11,70
605,10,0.25,11,70
606,10,0.25,11,60
607,10,0.25,11,70
608,10,0.25,11,60
609,10,0.25,11,70
610,10,0.25,11,60
611,10,0.25,11,70
612,10,0.25,11,80
613,10,0.25,11,40
614,10,0.25,11,80
615,10,0.25,11,80
616,10,0.25,11,70
617,10,0.25,11,40
618,10,0.25,11,80
619,10,0.25,11,60
620,10,0.25,11,50
621,10,0.25,11,80
622,10,0.25,11,40
623,10,0.25,11,70
624,10,0.25,11,80
625,10,0.25,11,60
626,10,0.25,11,70
627,10,0.25,11,30
628,10,0.25,11,70
