,T,lambda,gamma,strategy
449,10,0.25,,coop
450,10,0.25,,coop
451,10,0.25,,coop
452,10,0.25,,coop
453,10,0.25,,coop
454,10,0.25,,coop
455,10,0.25,,coop
456,10,0.25,,coop
457,10,0.25,,coop
458,10,0.25,,coop
459,10,0.25,,coop
460,10,0.25,,coop
461,10,0.25,,coop
462,10,0.25,,coop
463,10,0.25,,coop
464,10,0.25,,coop
465,10,0.25,,coop
466,10,0.25,,coop
467,10,0.25,,coop
468,10,0.25,,coop
469,10,0.25,,coop
470,10,0.25,,coop
471,10,0.25,,coop
472,10,0.25,,coop
473,10,0.25,,coop
474,10,0.25,,coop
475,10,0.25,,coop
476,10,0.25,,coop
477,10,0.25,,coop
478,10,0.25,,coop
479,10,0.25,,coop
480,10,0.25,,coop
481,10,0.25,,coop
482,10,0.25,,coop
483,10,0.25,,coop
484,10,0.25,,coop
485,10,0.25,,coop
486,10,0.25,,coop
487,10,0.25,,coop
488,10,0.25,,coop
489,10,0.25,,coop
490,10,0.25,,coop
491,10,0.25,,coop
492,10,0.25,,coop
493,10,0.25,,coop
494,10,0.25,,coop
495,10,0.25,,coop
496,10,0.25,,coop
497,10,0.25,,coop
498,10,0.25,,coop
499,10,0.25,,coop
500,10,0.25,,coop
501,10,0.25,,coop
502,10,0.25,,coop
503,10,0.25,,coop
504,10,0.25,,coop
505,10,0.25,,coop
506,10,0.25,,coop
507,10,0.25,,coop
508,10,0.25,,coop
509,10,0.25,,coop
510,10,0.25,,coop
511,10,0.25,,coop
512,10,0.25,,coop
513,10,0.25,,coop
514,10,0.25,,coop
515,10,0.25,,coop
516,10,0.25,,coop
517,10,0.25,,coop
518,10,0.25,,coop
519,10,0.25,,coop
520,10,0.25,,coop
521,10,0.25,,coop
522,10,0.25,,coop
523,10,0.25,,defect
524,10,0.25,,coop
525,10,0.25,,coop
526,10,0.25,,coop
527,10,0.25,,coop
528,10,0.25,,coop
529,10,0.25,,coop
530,10,0.25,,coop
531,10,0.25,,coop
532,10,0.25,,coop
533,10,0.25,,coop
534,10,0.25,,coop
535,10,0.25,,coop
536,10,0.25,,coop
537,10,0.25,,coop
538,10,0.25,,coop
539,10,0.25,,coop
540,10,0.25,,coop
541,10,0.25,,coop
542,10,0.25,,coop
543,10,0.25,,coop
544,10,0.25,,coop
545,10,0.25,,coop
546,10,0.25,,coop
547,10,0.25,,coop
548,10,0.25,,coop
549,10,0.25,,coop
550,10,0.25,,coop
551,10,0.25,,coop
552,10,0.25,,coop
553,10,0.25,,coop
554,10,0.25,,coop
555,10,0.25,,coop
556,10,0.25,,coop
557,10,0.25,,coop
558,10,0.25,,coop
559,10,0.25,,coop
560,10,0.25,,coop
561,10,0.25,,coop
562,10,0.25,,coop
563,10,0.25,,coop
564,10,0.25,,coop
565,10,0.25,,coop
566,10,0.25,,coop
567,10,0.25,,coop
568,10,0.25,,coop
569,10,0.25,,coop
570,10,0.25,,coop
571,10,0.25,,coop
572,10,0.25,,coop
573,10,0.25,,coop
574,10,0.25,,coop
575,10,0.25,,coop
576,10,0.25,,coop
577,10,0.25,,coop
578,10,0.25,,coop
579,10,0.25,,coop
580,10,0.25,,coop
581,10,0.25,,coop
582,10,0.25,,coop
583,10,0.25,,coop
584,10,0.25,,coop
585,10,0.25,,coop
586,10,0.25,,coop
587,10,0.25,,coop
588,10,0.25,,coop
589,10,0.25,,coop
590,10,0.25,,coop
591,10,0.25,,coop
592,10,0.25,,coop
593,10,0.25,,coop
594,10,0.25,,coop
595,10,0.25,,coop
596,10,0.25,,coop
597,10,0.25,,coop
598,10,0.25,,coop
599,10,0.25,,coop
600,10,0.25,,coop
601,10,0.25,,coop
602,10,0.25,,coop
603,10,0.25,,coop
604,10,0.25,,coop
605,10,0.25,,coop
606,10,0.25,,coop
607,10,0.25,,coop
608,10,0.25,,coop
609,10,0.25,,coop
610,10,0.25,,coop
611,10,0.25,,coop
612,10,0.25,,coop
613,10,0.25,,coop
614,10,0.25,,coop
615,10,0.25,,coop
616,10,0.25,,coop
617,10,0.25,,coop
618,10,0.25,,coop
619,10,0.25,,coop
620,10,0.25,,coop
621,10,0.25,,coop
622,10,0.25,,coop
623,10,0.25,,coop
624,10,0.25,,coop
625,10,0.25,,coop
626,10,0.25,,coop
627,10,0.25,,coop
628,10,0.25,,coop
629,10,0.25,,coop
630,10,0.25,,coop
631,10,0.25,,coop
632,10,0.25,,coop
633,10,0.25,,coop
634,10,0.25,,coop
635,10,0.25,,coop
636,10,0.25,,coop
637,10,0.25,,coop
638,10,0.25,,coop
639,10,0.25,,coop
640,10,0.25,,coop
641,10,0.25,,coop
642,10,0.25,,coop
643,10,0.25,,coop
644,10,0.25,,coop
645,10,0.25,,coop
646,10,0.25,,coop
647,10,0.25,,coop
648,10,0.25,,coop
649,10,0.25,,coop
650,10,0.25,,coop
651,10,0.25,,coop
652,10,0.25,,coop
653,10,0.25,,coop
654,10,0.25,,coop
655,10,0.25,,coop
656,10,0.25,,coop
657,10,0.25,,coop
658,10,0.25,,coop
659,10,0.25,,coop
660,10,0.25,,coop
661,10,0.25,,coop
662,10,0.25,,coop
663,10,0.25,,coop
664,10,0.25,,coop
665,10,0.25,,coop
666,10,0.25,,coop
667,10,0.25,,coop
668,10,0.25,,coop
669,10,0.25,,coop
670,10,0.25,,coop
671,10,0.25,,coop
672,10,0.25,,coop
673,10,0.25,,coop
674,10,0.25,,defect
675,10,0.25,,coop
676,10,0.25,,coop
677,10,0.25,,coop
678,10,0.25,,coop
679,10,0.25,,coop
680,10,0.25,,coop
681,10,0.25,,coop
682,10,0.25,,coop
683,10,0.25,,coop
684,10,0.25,,coop
685,10,0.25,,coop
686,10,0.25,,coop
687,10,0.25,,coop
688,10,0.25,,coop
689,10,0.25,,coop
690,10,0.25,,coop
691,10,0.25,,coop
692,10,0.25,,coop
693,10,0.25,,coop
694,10,0.25,,coop
695,10,0.25,,coop
696,10,0.25,,coop
697,10,0.25,,coop
698,10,0.25,,coop
699,10,0.25,,coop
700,10,0.25,,coop
701,10,0.25,,coop
702,10,0.25,,coop
703,10,0.25,,coop
704,10,0.25,,coop
705,10,0.25,,coop
706,10,0.25,,coop
707,10,0.25,,coop
708,10,0.25,,coop
709,10,0.25,,coop
710,10,0.25,,coop
711,10,0.25,,coop
712,10,0.25,,coop
713,10,0.25,,coop
714,10,0.25,,coop
715,10,0.25,,coop
716,10,0.25,,coop
717,10,0.25,,coop
718,10,0.25,,coop
719,10,0.25,,coop
720,10,0.25,,coop
721,10,0.25,,coop
722,10,0.25,,coop
723,10,0.25,,coop
724,10,0.25,,coop
725,10,0.25,,coop
726,10,0.25,,coop
727,10,0.25,,coop
728,10,0.25,,coop
729,10,0.25,,coop
730,10,0.25,,coop
731,10,0.25,,coop
732,10,0.25,,coop
733,10,0.25,,coop
734,10,0.25,,coop
735,10,0.25,,defect
736,10,0.25,,coop
737,10,0.25,,coop
738,10,0.25,,coop
739,10,0.25,,coop
740,10,0.25,,coop
741,10,0.25,,coop
742,10,0.25,,coop
743,10,0.25,,coop
744,10,0.25,,coop
745,10,0.25,,coop
746,10,0.25,,coop
747,10,0.25,,coop
748,10,0.25,,coop
749,10,0.25,,coop
750,10,0.25,,coop
751,10,0.25,,coop
752,10,0.25,,coop
753,10,0.25,,coop
754,10,0.25,,coop
755,10,0.25,,coop
756,10,0.25,,coop
757,10,0.25,,coop
758,10,0.25,,coop
759,10,0.25,,coop
760,10,0.25,,coop
761,10,0.25,,coop
762,10,0.25,,coop
763,10,0.25,,coop
764,10,0.25,,coop
765,10,0.25,,coop
766,10,0.25,,coop
767,10,0.25,,coop
768,10,0.25,,coop
769,10,0.25,,coop
770,10,0.25,,coop
771,10,0.25,,coop
772,10,0.25,,coop
773,10,0.25,,coop
774,10,0.25,,coop
775,10,0.25,,defect
776,10,0.25,,coop
777,10,0.25,,coop
778,10,0.25,,coop
779,10,0.25,,coop
780,10,0.25,,coop
781,10,0.25,,coop
782,10,0.25,,coop
783,10,0.25,,coop
784,10,0.25,,coop
785,10,0.25,,coop
786,10,0.25,,coop
787,10,0.25,,coop
788,10,0.25,,coop
789,10,0.25,,coop
